DOY,GCC
-59,0.32414
-58,0.3231
-57,0.33191
-56,0.32959
-55,0.33459
-54,0.3361
-53,0.33625
-52,0.34346
-51,0.33798
-50,0.33574
-49,0.33845
-48,0.33797
-47,0.33531
-46,0.3324
-45,0.33347
-44,0.34031
-43,0.33651
-42,0.33536
-41,0.33263
-40,0.33953
-39,0.33589
-38,0.33856
-37,0.33774
-36,0.3306
-30,0.33719
-29,0.33673
-28,0.33278
-27,0.33424
-26,0.33912
-25,0.32881
-23,0.33359
-22,0.33423
-21,0.33198
-20,0.32802
-19,0.33213
-17,0.33497
-16,0.33354
-15,0.33291
-14,0.33078
-13,0.33147
-12,0.33541
-11,0.33194
-10,0.3323
-9,0.33425
-8,0.32992
-7,0.33076
-6,0.33108
-5,0.33182
-4,0.33062
-3,0.32999
-2,0.32735
-1,0.33211
0,0.33121
5,0.32988
6,0.33344
7,0.33406
8,0.33623
9,0.3292
10,0.33264
11,0.33104
12,0.33337
13,0.33274
14,0.33466
15,0.33267
16,0.33658
17,0.33242
18,0.33074
19,0.33203
20,0.33042
21,0.33213
22,0.33163
23,0.33189
25,0.33683
26,0.32582
27,0.33226
28,0.33876
29,0.32912
30,0.33022
31,0.33148
32,0.33043
33,0.33207
34,0.32943
35,0.33166
36,0.33242
37,0.33021
39,0.33078
40,0.33304
41,0.33359
42,0.33051
43,0.33353
44,0.33298
45,0.33377
47,0.33329
48,0.33337
49,0.3314
50,0.3333
51,0.33216
52,0.334
53,0.33349
54,0.33243
55,0.32986
56,0.32923
59,0.33125
60,0.32771
61,0.33278
62,0.33324
63,0.32936
64,0.3293
65,0.33517
66,0.33317
67,0.332
68,0.33453
69,0.3329
70,0.33428
71,0.33254
72,0.33278
73,0.33457
74,0.33277
75,0.33402
76,0.33489
77,0.33476
78,0.33483
79,0.3359
80,0.33909
81,0.33476
82,0.33108
83,0.33687
84,0.33663
85,0.33157
86,0.33374
87,0.33761
88,0.33505
89,0.32948
90,0.33331
91,0.33529
92,0.3361
93,0.33676
94,0.33867
95,0.34046
96,0.33918
97,0.33597
98,0.33754
99,0.33438
100,0.33553
101,0.33834
102,0.33713
103,0.33902
104,0.33782
105,0.33698
106,0.33678
107,0.33858
108,0.33365
109,0.33622
110,0.33657
111,0.33808
112,0.3369
113,0.33536
114,0.3366
115,0.338
116,0.34051
117,0.34382
118,0.33666
119,0.33987
120,0.34934
121,0.35566
122,0.36295
123,0.36698
124,0.39152
125,0.39151
126,0.3507
127,0.40638
128,0.3938
129,0.40402
130,0.37566
131,0.40653
132,0.40854
133,0.41157
134,0.41537
135,0.41964
136,0.41647
137,0.42575
138,0.4235
139,0.34835
140,0.434
141,0.43616
142,0.43284
143,0.42914
144,0.42841
145,0.43402
146,0.37575
147,0.41502
148,0.431
149,0.42076
150,0.42
151,0.42228
152,0.38841
153,0.40318
154,0.37626
155,0.39654
156,0.34278
158,0.42448
159,0.38827
160,0.4142
161,0.38214
162,0.41157
163,0.40103
165,0.39362
166,0.41931
167,0.37983
168,0.34536
169,0.41233
170,0.41935
171,0.3602
172,0.38391
173,0.41322
174,0.35741
175,0.37936
176,0.40446
177,0.40418
179,0.33923
180,0.3974
181,0.40857
182,0.40133
